"","Gene","Gene.name","Tissue","TPM","pTPM","nTPM"
"36","ENSG00000000003","TSPAN6","cervical spinal cord, ventral horn",5,7,7.3
"37","ENSG00000000003","TSPAN6","cervix",32.6,38.4,22.3
"38","ENSG00000000003","TSPAN6","choroid plexus",23.1,29.8,23.3
"39","ENSG00000000003","TSPAN6","claustrum",3.6,4.9,5.9
"40","ENSG00000000003","TSPAN6","colon",32.1,40,33.1
"41","ENSG00000000003","TSPAN6","corpus callosum, genu (white matter)",14.8,23.7,11.9
"42","ENSG00000000003","TSPAN6","corpus callosum, splenium (white matter)",10,15.6,9.5
"43","ENSG00000000003","TSPAN6","corticomedial amygdala",4.2,5.8,6.6
"44","ENSG00000000003","TSPAN6","cuneate nuclei",3.8,5.3,6
"45","ENSG00000000003","TSPAN6","cuneiform nucleus",4.1,5.7,6.1
"46","ENSG00000000003","TSPAN6","dentate gyrus",5,7,7
"47","ENSG00000000003","TSPAN6","dorsal cochlear nucleus",4,5.6,6.2
"48","ENSG00000000003","TSPAN6","dorsal funiculus (white matter)",6.4,9.7,8.2
"49","ENSG00000000003","TSPAN6","dorsal medullary reticular nucleus",4.5,6.5,6.1
"50","ENSG00000000003","TSPAN6","dorsal motor vagal complex",4.7,6.3,6.6
"51","ENSG00000000003","TSPAN6","dorsal raphe nucleus",8.3,11.6,7.9
"52","ENSG00000000003","TSPAN6","dorsal tegmental nucleus",4,6,6
"53","ENSG00000000003","TSPAN6","dorsolateral prefrontal cortex",3.5,3.9,6.5
"54","ENSG00000000003","TSPAN6","dorsolateral tegmental area",5.2,7.4,6.7
"55","ENSG00000000003","TSPAN6","dorsomedial nucleus",8.3,12.1,7.2
"56","ENSG00000000003","TSPAN6","dorsomedial prefrontal cortex",3.9,4.5,7.3
"57","ENSG00000000003","TSPAN6","duodenum",19.5,24.6,19.9
"58","ENSG00000000003","TSPAN6","endometrium",22.8,28.8,14
"59","ENSG00000000003","TSPAN6","entorhinal gyrus",3.4,4.9,5.7
"60","ENSG00000000003","TSPAN6","epididymis",17.5,22,15
"61","ENSG00000000003","TSPAN6","esophagus",32.5,38.2,30.8
"62","ENSG00000000003","TSPAN6","fallopian tube",62.3,74.8,39.9
"63","ENSG00000000003","TSPAN6","flocculonodular lobe",3.3,5,5.5
"64","ENSG00000000003","TSPAN6","frontal cortex",3.4,3.8,6.3
"65","ENSG00000000003","TSPAN6","frontal eye field",3.3,4.6,5.7
"66","ENSG00000000003","TSPAN6","frontal operculum",4.6,6.7,6.2
"67","ENSG00000000003","TSPAN6","frontomarginal cortex",5,5.7,8.2
"68","ENSG00000000003","TSPAN6","frontopolar cortex",5.6,6.4,7.6
"69","ENSG00000000003","TSPAN6","fusiform gyrus",4,5.8,6
"70","ENSG00000000003","TSPAN6","fusiform gyrus (white matter)",4.6,6.5,6.6
"71","ENSG00000000003","TSPAN6","gallbladder",25.8,32.6,16.9
"72","ENSG00000000003","TSPAN6","gigantocellular reticular nuclei, medullary",3.7,5,6.3
"73","ENSG00000000003","TSPAN6","gigantocellular reticular nuclei, pars",3.5,5,5.8
"74","ENSG00000000003","TSPAN6","globus pallidus, externus",4.8,6.8,6.8
"75","ENSG00000000003","TSPAN6","globus pallidus, internus",5,7.1,6.8
"76","ENSG00000000003","TSPAN6","gyrus rectus",4.9,5.5,8.4
"77","ENSG00000000003","TSPAN6","habenula",7,9.9,7.2
"78","ENSG00000000003","TSPAN6","heart muscle",3.4,3.7,5.2
"79","ENSG00000000003","TSPAN6","hippocampus",4.6,6.2,6.8
"80","ENSG00000000003","TSPAN6","hippocampus, CA1",5.2,7.6,6.7
"81","ENSG00000000003","TSPAN6","hippocampus, CA2",5.1,7.3,6.7
"82","ENSG00000000003","TSPAN6","hippocampus, CA3",4.6,6.4,6.8
"83","ENSG00000000003","TSPAN6","inferior colliculus",5.7,8.1,6.5
"84","ENSG00000000003","TSPAN6","inferior frontal gyrus, opercular",3.8,4.8,6.1
"85","ENSG00000000003","TSPAN6","inferior frontal gyrus, orbital",3.7,4.3,5.9
"86","ENSG00000000003","TSPAN6","inferior frontal gyrus, triangular",3.6,4.2,5.3
"87","ENSG00000000003","TSPAN6","inferior olive",4,5.3,6.5
"88","ENSG00000000003","TSPAN6","inferior parietal lobule",3.4,4.6,5.8
"89","ENSG00000000003","TSPAN6","inferior temporal gyrus",3.9,5.7,5.9
"90","ENSG00000000003","TSPAN6","intraparietal deep sulcus",3.3,4.6,5.8
"91","ENSG00000000003","TSPAN6","kidney",39.1,44.4,36.8
"92","ENSG00000000003","TSPAN6","Kolliker-Fuse nucleus",7.1,10.5,7.7
"93","ENSG00000000003","TSPAN6","lateral amygdala",2.8,3.8,5.8
"94","ENSG00000000003","TSPAN6","lateral funiculus (white matter)",5.4,7.8,7.8
"95","ENSG00000000003","TSPAN6","lateral geniculate body",3.9,5.2,6.4
"96","ENSG00000000003","TSPAN6","lateral hypothalamic area",4.8,6.7,5.9
"97","ENSG00000000003","TSPAN6","lateral lemniscal nuclei",3.3,4.7,5.6
"98","ENSG00000000003","TSPAN6","lateral medullary reticular nucleus",4.6,6.4,6.5
"99","ENSG00000000003","TSPAN6","lateral parabrachial nucleus",5.9,8.8,7
"100","ENSG00000000003","TSPAN6","lateral thalamic nuclei",3.6,4.7,6.3
"101","ENSG00000000003","TSPAN6","lateral vestibular nucleus",2.8,3.9,5.5
"102","ENSG00000000003","TSPAN6","lingual gyrus",3.4,4.9,5.7
"103","ENSG00000000003","TSPAN6","liver",34.5,38.7,70.8
"104","ENSG00000000003","TSPAN6","locus coeruleus",4.2,5.8,5.9
"105","ENSG00000000003","TSPAN6","lung",12.4,15.4,8.3
"106","ENSG00000000003","TSPAN6","lymph node",3.3,4.3,3
"107","ENSG00000000003","TSPAN6","mamillary body",5.9,8.2,6.6
"108","ENSG00000000003","TSPAN6","medial dorsal thalamic nucleus",4.5,6.1,6.7
"109","ENSG00000000003","TSPAN6","medial geniculate body",4,5.4,6.5
"110","ENSG00000000003","TSPAN6","medial olivary nucleus",6.4,9.3,7.5
"111","ENSG00000000003","TSPAN6","medial parabrachial nucleus",3.7,5.2,5.7
"112","ENSG00000000003","TSPAN6","medial periolivary nuclei",3.5,4.9,5.8
"113","ENSG00000000003","TSPAN6","medial vestibular nucleus",4.2,5.8,6.2
"114","ENSG00000000003","TSPAN6","median raphe nucleus",4.9,6.7,6.9
"115","ENSG00000000003","TSPAN6","middle cingulate cortex",3,4,5.8
"116","ENSG00000000003","TSPAN6","middle frontal gyrus",3.1,3.7,5.6
"117","ENSG00000000003","TSPAN6","middle temporal gyrus",4.7,6.9,6.2
"118","ENSG00000000003","TSPAN6","motor facial nucleus",3.4,4.7,5.9
"119","ENSG00000000003","TSPAN6","motor hypoglossal nucleus",3.5,5.5,6
"120","ENSG00000000003","TSPAN6","motor trigeminal nucleus",3.5,5.1,5.7
"121","ENSG00000000003","TSPAN6","nuclei of the trapezoid body",3.6,5,5.7
"122","ENSG00000000003","TSPAN6","nucleus accumbens",4.8,7,6.4
"123","ENSG00000000003","TSPAN6","nucleus ambiguus",5.3,8,6.5
"124","ENSG00000000003","TSPAN6","nucleus basalis of Meynert",4.4,6.1,6.5
"125","ENSG00000000003","TSPAN6","nucleus cuneatus",3.5,4.7,6.3
"126","ENSG00000000003","TSPAN6","nucleus gracilis",3.1,4.1,6
"127","ENSG00000000003","TSPAN6","nucleus of the diagonal band",6.1,8.9,6.5
"128","ENSG00000000003","TSPAN6","nucleus raphe magnus",3.2,4.4,5.7
"129","ENSG00000000003","TSPAN6","nucleus raphe obscurus",6.5,9.8,7.3
"130","ENSG00000000003","TSPAN6","nucleus raphe pallidus",7.4,11.1,7.7
"131","ENSG00000000003","TSPAN6","nucleus reuniens",4.2,5.9,6.1
"132","ENSG00000000003","TSPAN6","nucleus rhomboideus",4.5,6,7.2
"133","ENSG00000000003","TSPAN6","nucleus tractus solitarii",8.2,11.5,8.1
"134","ENSG00000000003","TSPAN6","occipital cortex",2.9,4,5.7
"135","ENSG00000000003","TSPAN6","occipital cortex (white matter)",2.9,3.9,5.4
"136","ENSG00000000003","TSPAN6","olfactory area",4.2,6,5.9
"137","ENSG00000000003","TSPAN6","olfactory tubercle",4.3,6.1,6.2
"138","ENSG00000000003","TSPAN6","orbitofrontal gyrus, anterior",3.7,4.5,6.1
"139","ENSG00000000003","TSPAN6","orbitofrontal gyrus, lateral",3.9,4.4,6.2
"140","ENSG00000000003","TSPAN6","orbitofrontal gyrus, medial",5.3,6,9
"141","ENSG00000000003","TSPAN6","orbitofrontal gyrus, posterior",3.5,4.1,6.3
"142","ENSG00000000003","TSPAN6","ovary",40.8,50.5,34.1
"143","ENSG00000000003","TSPAN6","pancreas",4.2,5.3,20.3
"144","ENSG00000000003","TSPAN6","paracentral lobule, anterior",3.1,4.3,5.7
"145","ENSG00000000003","TSPAN6","paracentral lobule, posterior",3.4,4.6,6
"146","ENSG00000000003","TSPAN6","parahippocampal cortex",3.5,4.8,6
"147","ENSG00000000003","TSPAN6","parahippocampal cortex (white matter)",5,7.3,6.2
"148","ENSG00000000003","TSPAN6","paramedian reticular nucleus",4.9,7.1,6.4
"149","ENSG00000000003","TSPAN6","parathyroid gland",42.3,49.5,34.9
"150","ENSG00000000003","TSPAN6","paraventricular nucleus",7.8,11.4,7.5
"151","ENSG00000000003","TSPAN6","parietal cortex",4.6,5.3,7.3
"152","ENSG00000000003","TSPAN6","parietal operculum",2.8,3.7,5.9
"153","ENSG00000000003","TSPAN6","parieto-insular cortex",3.1,4.3,5.5
"154","ENSG00000000003","TSPAN6","parieto-occipital transitional area",3.7,5.2,6.1
"155","ENSG00000000003","TSPAN6","parieto-temporal junction (white matter)",5.7,9.2,7.1
"156","ENSG00000000003","TSPAN6","parvicellular reticular nuclei",3.6,5.1,5.8
"157","ENSG00000000003","TSPAN6","parvicellular reticular nuclei, medullary",3.2,4.4,5.5
"158","ENSG00000000003","TSPAN6","pedunculopontine tegmental nucleus",4.7,6.8,6.3
"159","ENSG00000000003","TSPAN6","periaquaductal grey, anterior",5.5,7.2,7.2
"160","ENSG00000000003","TSPAN6","periaquaductal grey, dorsal",10.4,14.9,9
"161","ENSG00000000003","TSPAN6","periaquaductal grey, lateral",7.3,10.8,7.8
"162","ENSG00000000003","TSPAN6","perirhinal gyrus",3.9,5.5,5.9
"163","ENSG00000000003","TSPAN6","peritrigeminal nucleus",6.6,9.2,7.3
"164","ENSG00000000003","TSPAN6","piriform cortex",4.2,6.2,6
"165","ENSG00000000003","TSPAN6","placenta",28.6,34.6,20.2
"166","ENSG00000000003","TSPAN6","pontine nuclei",4,5.6,5.8
"167","ENSG00000000003","TSPAN6","pontine raphe nucleus",3.3,4.5,5.7
"168","ENSG00000000003","TSPAN6","postcentral gyrus",1.6,2,5.2
"169","ENSG00000000003","TSPAN6","postcentral gyrus, dorsal",3.3,4.5,5.7
"170","ENSG00000000003","TSPAN6","postcentral gyrus, middle",3.2,4.7,5.7
"171","ENSG00000000003","TSPAN6","postcentral gyrus, ventral",2.6,3.9,5.5
"172","ENSG00000000003","TSPAN6","posterior cingulate cortex",2.4,3.1,5.9
"173","ENSG00000000003","TSPAN6","posterior cingulate cortex, dorsal",3,3.9,5.9
"174","ENSG00000000003","TSPAN6","posterior cingulate cortex, ventral",3.5,4.8,6.1
"175","ENSG00000000003","TSPAN6","posterior insular cortex",3.4,4.8,5.7
"176","ENSG00000000003","TSPAN6","posterior thalamic nucleus",4.4,6.2,6.7
"177","ENSG00000000003","TSPAN6","posteroventral cochlear nucleus",4.3,6.2,6.1
"178","ENSG00000000003","TSPAN6","precentral gyrus",1.6,2.1,4.9
"179","ENSG00000000003","TSPAN6","precentral gyrus, dorsal",3.2,4.2,6
"180","ENSG00000000003","TSPAN6","precentral gyrus, middle",3.2,4.4,5.6
"181","ENSG00000000003","TSPAN6","precentral gyrus, ventral",3,4,5.7
"182","ENSG00000000003","TSPAN6","precuneus",3.2,4.3,5.9
"183","ENSG00000000003","TSPAN6","premotor cortex, dorsal",3.1,4.3,5.7
"184","ENSG00000000003","TSPAN6","premotor cortex, ventral",3,4.2,5.6
"185","ENSG00000000003","TSPAN6","preoptic area",5.6,8.1,6.4
"186","ENSG00000000003","TSPAN6","prepositus hypoglossal nucleus",6.2,8.3,7.7
"187","ENSG00000000003","TSPAN6","pretectal area",5.1,7.1,6.7
"188","ENSG00000000003","TSPAN6","principal sensory trigeminal nucleus",3.3,4.9,5.5
"189","ENSG00000000003","TSPAN6","prostate",30.1,36.9,19
"190","ENSG00000000003","TSPAN6","pulvinar",3.6,4.7,6.4
"191","ENSG00000000003","TSPAN6","putamen",4.4,6.1,6.6
"192","ENSG00000000003","TSPAN6","rectum",36,44.5,33.5
"193","ENSG00000000003","TSPAN6","red nucleus",3.9,5.2,6.1
"194","ENSG00000000003","TSPAN6","reticular pontine nucleus, caudal",3.7,5.1,6.1
"195","ENSG00000000003","TSPAN6","reticular pontine nucleus, oral",3.7,5.3,5.9
"196","ENSG00000000003","TSPAN6","reticulotegmental nucleus",4,5.6,6.1
"197","ENSG00000000003","TSPAN6","retrosplenial cortex",3.5,5,5.8
"198","ENSG00000000003","TSPAN6","salivary gland",21.6,36,53.1
"199","ENSG00000000003","TSPAN6","seminal vesicle",14.3,16.8,10.4
"200","ENSG00000000003","TSPAN6","septal nuclei",7.1,10.4,7.4
"201","ENSG00000000003","TSPAN6","skeletal muscle",1,1.1,3
"202","ENSG00000000003","TSPAN6","skin",4.6,5.9,4
"203","ENSG00000000003","TSPAN6","small intestine",13.9,17.5,12.7
"204","ENSG00000000003","TSPAN6","smooth muscle",10.8,13.1,7.3
"205","ENSG00000000003","TSPAN6","somatomor cortex, precentral gyrus (white matter)",2.4,3.2,5.6
"206","ENSG00000000003","TSPAN6","somatosensory cortex, postcentral gyrus, ventral (white matter)",1.8,2.4,5.1
"207","ENSG00000000003","TSPAN6","spinal trigeminal nucleus, caudal",3.6,4.9,6.1
"208","ENSG00000000003","TSPAN6","spinal trigeminal nucleus, interpolar",4.2,5.8,6.1
"209","ENSG00000000003","TSPAN6","spinal trigeminal nucleus, oral",4,5.8,5.9
"210","ENSG00000000003","TSPAN6","spinal vestibular nucleus",3.3,4.6,5.7
"211","ENSG00000000003","TSPAN6","spleen",9,12.1,6.6
"212","ENSG00000000003","TSPAN6","stomach",13.4,16.4,14.9
"213","ENSG00000000003","TSPAN6","stria terminalis, bed nucleus",9.3,14.6,8.2
"214","ENSG00000000003","TSPAN6","subcallosal gyrus",4,4.4,8.1
"215","ENSG00000000003","TSPAN6","subcentral gyrus, S2",3.1,4.3,5.6
"216","ENSG00000000003","TSPAN6","subcoeruleus area",3.5,5,5.7
"217","ENSG00000000003","TSPAN6","subiculum",4.3,6.3,6.3
"218","ENSG00000000003","TSPAN6","substantia nigra",5.5,7.3,7
"219","ENSG00000000003","TSPAN6","subthalamic nucleus",4.3,6,6.5
"220","ENSG00000000003","TSPAN6","superior colliculus",5.3,7.3,6.7
"221","ENSG00000000003","TSPAN6","superior frontal gyrus",3.5,3.9,6.1
"222","ENSG00000000003","TSPAN6","superior olive",3.6,5.1,5.9
"223","ENSG00000000003","TSPAN6","superior parietal lobule",3.2,4.4,5.6
"224","ENSG00000000003","TSPAN6","superior temporal gyrus",3.9,5.8,5.9
"225","ENSG00000000003","TSPAN6","superior vestibular nucleus",7,9.8,7.9
"226","ENSG00000000003","TSPAN6","supplementary motor cortex",3,4.3,5.5
"227","ENSG00000000003","TSPAN6","suprachiasmatic nucleus",18.4,28.4,12.9
"228","ENSG00000000003","TSPAN6","supramarginal gyrus",3.4,4.7,6
"229","ENSG00000000003","TSPAN6","supraoptic nucleus",9.9,14.3,8.3
"230","ENSG00000000003","TSPAN6","temporal cortex",3.8,4.7,6.4
"231","ENSG00000000003","TSPAN6","temporal cortex (white matter)",2.9,4,5.5
"232","ENSG00000000003","TSPAN6","temporal pole",4.1,5.8,6.1
"233","ENSG00000000003","TSPAN6","temporal white matter",4.6,7.3,6.5
"234","ENSG00000000003","TSPAN6","temporo-insular cortex, parainsular gyrus",3.1,4.4,5.7
"235","ENSG00000000003","TSPAN6","temporo-occipital transitional zone",2.9,4,5.8
"236","ENSG00000000003","TSPAN6","testis",75.6,97.1,42
"237","ENSG00000000003","TSPAN6","thymus",5.5,6.9,4.2
"238","ENSG00000000003","TSPAN6","thyroid gland",31.9,39.6,19.5
"239","ENSG00000000003","TSPAN6","tongue",2.4,2.6,5.4
"240","ENSG00000000003","TSPAN6","tonsil",6.1,7.9,6.8
"241","ENSG00000000003","TSPAN6","transversal temporal gyrus, anterior",3.2,4.7,5.5
"242","ENSG00000000003","TSPAN6","transversal temporal gyrus, posterior",4,6,5.9
"243","ENSG00000000003","TSPAN6","urinary bladder",37.9,46.5,32.5
"244","ENSG00000000003","TSPAN6","ventral medullary reticular nucleus",4.7,6.8,6.4
"245","ENSG00000000003","TSPAN6","ventral periolivary nuclei",3.6,5.2,5.8
"246","ENSG00000000003","TSPAN6","ventral posterolateral thalamic nucleus",4,5.4,6.4
"247","ENSG00000000003","TSPAN6","ventral posteromedial thalamic nucleus",3.9,5.4,6
"248","ENSG00000000003","TSPAN6","ventral tegmental area",5.2,7.2,6.7
"249","ENSG00000000003","TSPAN6","ventral thalamic nuclei",3.6,4.8,6.2
"250","ENSG00000000003","TSPAN6","ventrolateral medulla, A1/C1 cell groups",5.1,7.3,6.5
"251","ENSG00000000003","TSPAN6","ventrolateral prefrontal cortex",3.7,4.1,6.8
"252","ENSG00000000003","TSPAN6","ventrolateral tegmental area, A5 NE cell group",3.2,4.4,5.7
"253","ENSG00000000003","TSPAN6","ventromedial nucleus",10.5,15.2,8.2
"254","ENSG00000000003","TSPAN6","ventromedial prefrontal cortex",5.2,6,8.7
"255","ENSG00000000003","TSPAN6","vermis",3.7,5.7,5.8
"256","ENSG00000000003","TSPAN6","zona incerta",4.3,5.8,6.4
"257","ENSG00000000005","TNMD","adipose tissue",11.5,13.4,11.2
"258","ENSG00000000005","TNMD","adrenal gland",0.2,0.3,0.2
"259","ENSG00000000005","TNMD","amygdala",0.2,0.3,0.1
"260","ENSG00000000005","TNMD","angular gyrus",0.1,0.2,0.1
"261","ENSG00000000005","TNMD","angular gyrus (white matter)",0,0.1,0
"262","ENSG00000000005","TNMD","anterior cingulate cortex, supragenual-dorsal",0.2,0.3,0.1
"263","ENSG00000000005","TNMD","anterior cingulate cortex, supragenual-ventral",0.2,0.3,0.1
"264","ENSG00000000005","TNMD","anterior cingulate gyrus, pregenual-dorsal",0,0,0.1
"265","ENSG00000000005","TNMD","anterior cingulate gyrus, pregenual-ventral",0,0.1,0.1
"266","ENSG00000000005","TNMD","anterior cingulate gyrus, subgenual",0,0,0.1
"267","ENSG00000000005","TNMD","anterior cochlear nucleus, ventral",0.2,0.3,0.2
"268","ENSG00000000005","TNMD","anterior funiculus (white matter)",0.1,0.2,0.1
"269","ENSG00000000005","TNMD","anterior insular cortex, dorsal",0.2,0.3,0.1
"270","ENSG00000000005","TNMD","anterior insular cortex, ventral",0.2,0.3,0.1
"271","ENSG00000000005","TNMD","anterior thalamic nucleus, ventral",0.2,0.3,0.1
"272","ENSG00000000005","TNMD","appendix",0.8,1.1,0.6
"273","ENSG00000000005","TNMD","arcuate nucleus",0.7,1.1,0.4
"274","ENSG00000000005","TNMD","area parastriata, inferior",0.1,0.2,0.1
"275","ENSG00000000005","TNMD","area parastriata, parietal",0.3,0.5,0.2
"276","ENSG00000000005","TNMD","area parastriata, superior",0.1,0.2,0.1
"277","ENSG00000000005","TNMD","area parastriata, temporal",0.2,0.3,0.1
"278","ENSG00000000005","TNMD","area postrema",0.2,0.3,0.1
"279","ENSG00000000005","TNMD","area striata",0.2,0.3,0.1
"280","ENSG00000000005","TNMD","area striata (white matter)",0.2,0.3,0.1
"281","ENSG00000000005","TNMD","basal amygdala",0.2,0.4,0.2
"282","ENSG00000000005","TNMD","bone marrow",0,0,0
"283","ENSG00000000005","TNMD","breast",4.8,5.9,3.9
"284","ENSG00000000005","TNMD","caudate nucleus",0.2,0.3,0.1
"285","ENSG00000000005","TNMD","central amygdala",0.3,0.4,0.2
"286","ENSG00000000005","TNMD","centromedial thalamic nucleus",0.2,0.4,0.1
"287","ENSG00000000005","TNMD","cerebellar cortex",0,0,0
"288","ENSG00000000005","TNMD","cerebellar nuclei",0.2,0.3,0.1
"289","ENSG00000000005","TNMD","cerebellar white matter",0.2,0.3,0.1
"290","ENSG00000000005","TNMD","cervical spinal cord, central gray",0.5,0.8,0.2
"291","ENSG00000000005","TNMD","cervical spinal cord, dorsal horn",0.2,0.3,0.1
"292","ENSG00000000005","TNMD","cervical spinal cord, ventral horn",0.2,0.3,0.1
"293","ENSG00000000005","TNMD","cervix",0.9,1.1,0.5
"294","ENSG00000000005","TNMD","choroid plexus",1.2,1.7,1
"295","ENSG00000000005","TNMD","claustrum",0.2,0.3,0.1
"296","ENSG00000000005","TNMD","colon",0.8,1,0.8
"297","ENSG00000000005","TNMD","corpus callosum, genu (white matter)",0.2,0.4,0.1
"298","ENSG00000000005","TNMD","corpus callosum, splenium (white matter)",0.2,0.4,0.1
"299","ENSG00000000005","TNMD","corticomedial amygdala",0.3,0.4,0.2
"300","ENSG00000000005","TNMD","cuneate nuclei",0.2,0.4,0.1
"301","ENSG00000000005","TNMD","cuneiform nucleus",0.5,0.7,0.2
"302","ENSG00000000005","TNMD","dentate gyrus",0.2,0.3,0.1
"303","ENSG00000000005","TNMD","dorsal cochlear nucleus",0.2,0.3,0.1
"304","ENSG00000000005","TNMD","dorsal funiculus (white matter)",0.1,0.2,0.1
"305","ENSG00000000005","TNMD","dorsal medullary reticular nucleus",0.4,0.6,0.2
"306","ENSG00000000005","TNMD","dorsal motor vagal complex",0.2,0.3,0.1
"307","ENSG00000000005","TNMD","dorsal raphe nucleus",0.3,0.4,0.1
"308","ENSG00000000005","TNMD","dorsal tegmental nucleus",0.3,0.4,0.1
"309","ENSG00000000005","TNMD","dorsolateral prefrontal cortex",0,0,0.1
"310","ENSG00000000005","TNMD","dorsolateral tegmental area",0.3,0.5,0.1
"311","ENSG00000000005","TNMD","dorsomedial nucleus",0.2,0.4,0.1
"312","ENSG00000000005","TNMD","dorsomedial prefrontal cortex",0.1,0.1,0.1
"313","ENSG00000000005","TNMD","duodenum",0.1,0.1,0.1
"314","ENSG00000000005","TNMD","endometrium",0.5,0.6,0.3
"315","ENSG00000000005","TNMD","entorhinal gyrus",0.2,0.3,0.1
"316","ENSG00000000005","TNMD","epididymis",0.2,0.3,0.2
"317","ENSG00000000005","TNMD","esophagus",0.3,0.4,0.3
"318","ENSG00000000005","TNMD","fallopian tube",0.3,0.4,0.2
"319","ENSG00000000005","TNMD","flocculonodular lobe",0,0.1,0
"320","ENSG00000000005","TNMD","frontal cortex",0,0.1,0.1
"321","ENSG00000000005","TNMD","frontal eye field",0.1,0.2,0.1
"322","ENSG00000000005","TNMD","frontal operculum",0.1,0.2,0.1
"323","ENSG00000000005","TNMD","frontomarginal cortex",0,0,0
"324","ENSG00000000005","TNMD","frontopolar cortex",0,0.1,0
"325","ENSG00000000005","TNMD","fusiform gyrus",0.2,0.3,0.1
"326","ENSG00000000005","TNMD","fusiform gyrus (white matter)",0.1,0.2,0
"327","ENSG00000000005","TNMD","gallbladder",0.8,1,0.5
"328","ENSG00000000005","TNMD","gigantocellular reticular nuclei, medullary",0.2,0.3,0.1
"329","ENSG00000000005","TNMD","gigantocellular reticular nuclei, pars",0.2,0.3,0.1
"330","ENSG00000000005","TNMD","globus pallidus, externus",0.2,0.3,0.1
"331","ENSG00000000005","TNMD","globus pallidus, internus",0.3,0.4,0.1
"332","ENSG00000000005","TNMD","gyrus rectus",0,0.1,0.1
"333","ENSG00000000005","TNMD","habenula",0.2,0.3,0.1
"334","ENSG00000000005","TNMD","heart muscle",0.6,0.7,1
"335","ENSG00000000005","TNMD","hippocampus",0.3,0.4,0.2
"336","ENSG00000000005","TNMD","hippocampus, CA1",0.3,0.4,0.1
"337","ENSG00000000005","TNMD","hippocampus, CA2",0.3,0.4,0.1
"338","ENSG00000000005","TNMD","hippocampus, CA3",0.4,0.6,0.2
"339","ENSG00000000005","TNMD","inferior colliculus",0.2,0.4,0.1
"340","ENSG00000000005","TNMD","inferior frontal gyrus, opercular",0.1,0.1,0
"341","ENSG00000000005","TNMD","inferior frontal gyrus, orbital",0,0,0
"342","ENSG00000000005","TNMD","inferior frontal gyrus, triangular",0,0,0
"343","ENSG00000000005","TNMD","inferior olive",0.1,0.2,0.1
"344","ENSG00000000005","TNMD","inferior parietal lobule",0.2,0.2,0.1
"345","ENSG00000000005","TNMD","inferior temporal gyrus",0.2,0.4,0.1
"346","ENSG00000000005","TNMD","intraparietal deep sulcus",0.2,0.3,0.1
